prompt,completion
Generate a Chemistry multiple choice question:,Chemistry – Multiple Choice Which of the following substances is more soluble in toluene than in water? W) Carbon tetrachloride X) Sodium chloride Y) Acetic acid Z) Sodium methoxide
Generate a Chemistry multiple choice question:,"Chemistry – Multiple Choice A physical chemist has determined the vapor pressure of a liquid at multiple temperatures and wants to determine the standard entropy of vaporization. Which of the following sets of axes will enable the chemist to graph the data as a line and determine the entropy from the y-intercept? W) Pressure on y, temperature on x X) One over pressure on y, temperature on x Y) Natural log of pressure on y, temperature on x Z) Natural log of pressure on y, one over temperature on x"
Generate a Math short answer question:,Math – Short Answer What is the integral with respect to x from 9 to 64 of the derivative of the square root of x?
Generate a Math short answer question:,"Math – Short Answer The graph of the polar equation r = 6 cosine theta is a circle. What are its radius and cartesian-coordinate center, respectively?"
Generate a Physics short answer question:,"Physics – Short Answer What quantity, inversely related to compressibility, measures a material’s ability to resist pressures coming from all sides, such as when underwater?"
Generate a Physics short answer question:,Physics – Short Answer Identify all of the following three quantities that are dimensionless: 1) Tensile [TEN-sile] stress; 2) Tensile strain; 3) Young’s Modulus.
Generate a Math short answer question:,Math – Short Answer How many terms does the binomial expansion of open parenthesis 8x3 + 5y2 close parenthesis to 18th power contain?
Generate a Math short answer question:,"Math – Short Answer What are the coordinates of the image of the point (–1, 4) when it is rotated about the point (3, 2) by 90 degrees counterclockwise?"
Generate a Biology short answer question:,Biology – Short Answer What is the name of the jelly-like fluid that fills the human eye?
Generate a Biology short answer question:,Biology – Short Answer Identify all of the following three vitamins that are considered fat-soluble: 1) Biotin; 2) Cobalamin [koh-BALL-ah-min]; 3) Niacin.
Generate a Chemistry short answer question:,Chemistry – Short Answer Identify all of the following three statements that are true regarding the denticity of ligands [LIH-gundz]: 1) Bromine [BROH-meen] is a monodentate ligand; 2) Diethylenetriamine [dye-ethileen-tri-ah-meen] is a bidentate ligand; 3) EDTA is a quatradentate [kwah- trah-DEN-tate] ligand.
Generate a Chemistry short answer question:,Chemistry – Short Answer Identify all of the following three molecules that have the chemical formula C H O: 1) Acetone; 2) Butanone; 3) Butyraldehyde. 4 8
Generate a Energy multiple choice question:,"Energy – Multiple Choice Two years after carbon dioxide was sequestered by the Pacific Northwest National Lab near Wallula, Washington, the material was converted into mineral substances resembling what type of sedimentary rock? W) Rock gypsum X) Limestone Y) Coal Z) Rock salt"
Generate a Energy short answer question:,Energy – Short Answer Identify all of the following three statements that are true regarding nuclear energy in the United States: 1) Most common reactors are thermal reactors; 2) Most common reactors use U-235 as a fuel; 3) Water can be used as a moderator.
Generate a Biology short answer question:,"Biology – Short Answer Before amino acids can be used in translation, the free amino acid must be bonded to what class of molecules?"
Generate a Biology short answer question:,"Biology – Short Answer Certain plants have leaves in which bundle-sheath cells are tightly packed around veins, which are then surrounded by mesophyll [MEH-zoh-fill] cells. This anatomy is associated with plants that perform what type of photosynthesis?"
Generate a Chemistry multiple choice question:,Chemistry – Multiple Choice Which of the following terms best describes the relationship between 1-butanol [one-BYOO-tan-all] and 4-butanol? W) Structural isomers X) Same compound Y) Diastereomers [dye-ah-STARE-ee-oh-murz] Z) Enantiomers [en-AN-tee-oh-mirs]
Generate a Chemistry short answer question:,Chemistry – Short Answer Identify all of the following three statements that are true of xenon [ZEE- non] tetrafluoride: 1) It is tetrahedral [tetrah-HEE-drul]; 2) It has no net dipole [DYE-pole] moment; 3) It contains two unpaired electrons.
Generate a Physics short answer question:,"Physics – Short Answer A 1,000-kilogram block of density 800 kilograms per cubic meter is placed in a fluid of density 1,000 kilograms per cubic meter. What percentage of the block’s total volume floats above the surface of the fluid?"
Generate a Physics multiple choice question:,"Physics – Multiple Choice A lightning bolt strikes a power station, transmitting a current of 30,000 amps for 100 microseconds into it, which is currently charging a 2,000-milliampere-hour battery. Assuming that the charge from the lightning bolt is perfectly transmitted into the battery, which of the following percentages is closest to the percentage of the battery that it would charge? W) Less than 1 X) 25 Y) 50 Z) 75"
Generate a Math short answer question:,Math – Short Answer What value of x minimizes the function f of x equals x2 – 6x + 2?
Generate a Math multiple choice question:,"Math – Multiple Choice If f(x) = the square root of open parenthesis x + 4 close parenthesis and g(x) = the square root of open parenthesis x – 4 close parenthesis, what is the domain of the function f(x) divided by g(x)? W) All real numbers greater than 4 X) All real numbers greater than or equal to 4 Y) All real numbers greater than or equal to –4 Z) All real numbers between –4 and 4"
Generate a Biology short answer question:,"Biology – Short Answer Under limited nutrient conditions Bacillus [bah-SIL-us] subtilis [SUB-dil-iss] initiates a morphological change, notably documented by Robert Koch [coke], that results in the formation of what structure?"
Generate a Biology short answer question:,Biology – Short Answer What is the term for phages [FAY-jiz] that can reproduce using both the lytic [LIH-tik] and lysogenic [lye-soh-JEN-ik] cycle?
Generate a Chemistry multiple choice question:,Chemistry – Multiple Choice Which of the following acids is triprotic [try-PRO-tic]? W) Sulfuric acid X) Hydrocyanic acid [HIGH-droh-sigh-AN-ik] Y) Pyruvic acid [pie-ROO-vik] Z) Arsenic acid
Generate a Chemistry short answer question:,Chemistry – Short Answer Rank the following three liquids in increasing order of solubility in water at STP: 1) Hexane; 2) Ethanol; 3) Ethyl acetate.
Generate a Physics short answer question:,Physics – Short Answer The grand unified theory joins together all of the fundamental forces except which one?
Generate a Physics short answer question:,Physics – Short Answer Bill pulls a sled with 10 newtons of force using a rope that is angled 60 degrees above the horizontal. How much work in joules does he perform on the sled if he pulls the sled for 3 meters over the course of 4 seconds?
Generate a Math short answer question:,Math – Short Answer What is 27 raised to the 4/3 power?
Generate a Math short answer question:,"Math – Short Answer One endpoint of a diameter of a sphere centered at (3, 4, –7) is (5, –6, 2). What are the coordinates of the other endpoint of that diameter?"
Generate a Energy short answer question:,"Energy – Short Answer SLAC [slack] researchers recently published a report on the development of a new, cheap catalyst for the oxygen-evolving reaction relevant to fuel production. On what molecule do these catalysts act to evolve oxygen?"
Generate a Energy short answer question:,"Energy – Short Answer Identify all of the following three types of waves that can be modeled and predicted using the current iteration of the Community Atmosphere Model, currently being used by Lawrence Berkeley National Lab researchers: 1) Tsunamis [su-NAH-mees]; 2) Tidal bores; 3) Wind wave."
Generate a Chemistry multiple choice question:,"Chemistry – Multiple Choice When performing bomb calorimetry [cal-or-IH-metree], which of the following physical quantities is being held constant? W) Pressure X) Volume Y) Temperature Z) Entropy [EN-troh-pee]"
Generate a Chemistry short answer question:,Chemistry – Short Answer Rank the following three molecules in terms of increasing dipole [DYE- pole] moment: 1) O-dihydroxybenzene [dye-high-droxee-BEN-zeen]; 2) M-dihydroxybeneze; 3) P-dihydroxybenzene.
Generate a Math multiple choice question:,Math – Multiple Choice Which of the following is true about the function f of x = cosine of x? W) It is neither even nor odd X) It has the horizontal asymptote y = 1 Y) It has period 2 pi Z) It is not differentiable at x = 0
Generate a Math short answer question:,Math – Short Answer Simplify the following expression involving the complex number i: 4i + 3i2 + 2i3 + i4
Generate a Energy short answer question:,"Energy – Short Answer SLAC [slack] scientists recently developed a new technique for probing the electronic structure of solid materials via high harmonic generation, or HHG. In this technique, light is produced via the oscillations of what subatomic particle?"
Generate a Energy short answer question:,"Energy – Short Answer Chemists at Lawrence Berkeley National Lab developed ReACT [REE-act] protein-labeling technology to address the fact that, while previous bioconjugation techniques were very effective at labeling sulfur atoms, they often disrupted the function of the protein. This is because previous techniques labeled what amino acid?"
Generate a Physics short answer question:,Physics – Short Answer What form of magnetism is demonstrated when a material's magnetic moment opposes the direction of an externally-applied magnetic field?
Generate a Physics short answer question:,"Physics – Short Answer If a radioactive element’s half-life is 60 days, then, to the nearest whole number, how many grams of a 1-kilogram sample remain after 300 days?"
Generate a Biology short answer question:,Biology – Short Answer Identify all of the following three Linnaean [lin-AY-in] classifications that apply to the leopard: 1) Carnivora [car-NIV-or-ah]; 2) Chordata [kor-DAH-tah]; 3) Canidae [KAN-ih- dee].
Generate a Biology short answer question:,Biology – Short Answer Identify all of the following three organisms that are part of the phylum [FYE-lum] Coniferophyta [kaw-nif-er-AW-fih-tah]: 1) Sequoia; 2) Orchid; 3) Douglas fir.
Generate a Math short answer question:,"Math – Short Answer A pair of ten-sided dice, each with the numbers one through 10 printed on the faces, is rolled. What is the most probable sum of the two numbers rolled?"
Generate a Math short answer question:,Math – Short Answer What is 8 to the power of log base 2 of 5?
Generate a Biology short answer question:,"Biology – Short Answer In the citric acid cycle, how many molecules of NADH are generated from the conversion of citrate to isocitrate?"
Generate a Biology short answer question:,"Biology – Short Answer What plant hormone, which can be synthesized by almost all known plants, is responsible for stomatal closure during dry stress?"
Generate a Physics short answer question:,Physics – Short Answer The function describing an object’s position is transformed into a function describing velocity by what operation from calculus?
Generate a Physics short answer question:,"Physics – Short Answer Two 6-kilogram masses are connected by a spring with a force constant of 300 newtons per meter. If the spring is compressed by five centimeters, what is the initial acceleration, in meters per second squared, of one of the masses?"
Generate a Chemistry short answer question:,Chemistry – Short Answer Identify all of the following three chemicals whose addition will increase the percent ionization [eye-on-ih-ZAY-shun] of acetic acid in a solution: 1) Water; 2) Concentrated acetic acid; 3) Concentrated hydrochloric acid.
Generate a Chemistry short answer question:,Chemistry – Short Answer Identify all of the following three reactions that would favor reactants over products: 1) A reaction with K of 3; 2) A reaction with positive delta G; 3) An endothermic reaction eq with negative delta S.
Generate a Energy short answer question:,"In an electrolytic cell, what is the sign of the charge associated with the anode?"
Generate a Energy multiple choice question:,Which of the following has NOT been shown to be a practical use of electrolytic cells? W) Recovering pure metal from alloys X) Electrolysis Y) Plating of one metal with another Z) Manufacturing of sodium hydroxide
Generate a Chemistry multiple choice question:,What is the empirical formula for C H O ? 6 12 6 W) C H O 3 4 3 X) CHO Y) CH O 2 Z) C H O 6 12 6
Generate a Chemistry multiple choice question:,What is the formula for iron II phosphate? W) Fe P 3 2 X) FePO 4 Y) Fe (PO ) 3 4 2 Z) Fe (PO ) 3 3 2
Generate a Math multiple choice question:,Find the derivative of 2xex (read as: 2x e to the x). W) 2ex +2x X) 2xex + ex Y) 2xex + 2ex Z) 2xex
Generate a Math short answer question:,"What matrix is the multiplicative inverse of the 2 by 2 matrix (read as: row 1: 3, 1; row 2: 5, 2)."
Generate a Physics multiple choice question:,How can 2 batteries and three capacitors be arranged to store the maximum amount of energy? W) Connect the capacitors in parallel and the batteries in series X) Connect the capacitors in series and the batteries in parallel Y) Connect the capacitors and batteries in parallel Z) Connect the capacitors and batteries in series
Generate a Physics short answer question:,What would be the total capacitance in microfarads and total voltage of 3 four-microfarad capacitors in parallel and two 1.5 volt batteries in series in a circuit?
Generate a Chemistry multiple choice question:,EARTH AND SPACE Multiple Choice What property of diatoms make them useful as climate proxies? W) The chemical makeup of their shells reflects the water chemistry at their time of formation X) The narrow temperature range in which they exist makes them markers for paleo0ocean temperatures Y) Their well-preserved digestive system provide ample evidence for ancient food webs Z) Their limited diversity and low adaptability make them key indicators of specific aquatic environments
Generate a Math short answer question:,What is the largest triangular number less than 25?
Generate a Math short answer question:,"A man who is 6 feet tall spots a bird at the top of a 14-foot telephone pole. If the angle of elevation from his eyes to the top of the pole is 30 degrees, then to the nearest foot, how far away is he standing from the base of the pole?"
Generate a Energy multiple choice question:,"The human brain contains as many as 100 billion neurons. The neurons communicate with each other through electrochemical signals. Which of the following is NOT true? W) Each neuron can connect to at least 1,000 other neurons X) Neurons have a short life span Y) Brain signals involve less than one-tenth the voltage of an ordinary flashlight battery Z) Some messages pass through the nervous system more quickly than others"
Generate a Energy multiple choice question:,"Brain computer interfaces can measure minute differences in the voltage between neurons, amplify and filter the signal, and then a computer interprets it. All of the following are current applications of brain computer interfaces, except: W) Controlling a computer cursor via mental commands X) Interpreting brain signals for movement for someone who can’t physically move Y) Providing a communication link for people who suffer from “locked in” syndrome Z) Repairing damaged neurons"
Generate a Physics multiple choice question:,"During a safety test, a small car and a truck move toward each other at the same speed and experience a head-on collision. Afterward, the two objects move away from each other along the same line. Which of the following is correct? W) The truck will experience a greater speed than the car X) The car will experience a greater speed than the truck Y) The speeds of the truck and the car will be the same Z) Sometimes the truck will experience a greater speed and sometimes the car will experience the greater speed"
Generate a Physics short answer question:,Mercury or other liquid barometers work by balancing the force exerted by the atmosphere with what?
Generate a Energy multiple choice question:,"Hydrogen fuel cells use hydrogen to generate energy. Which of the following is true about hydrogen fuel cells? W) Fuel cells are similar to batteries and store hydrogen, which is an energy source by itself X) Fuel cells extract the hydrogen from other compounds in nature Y) Fuel cells dissolve water into hydrogen, creating oxygen and energy Z) Fuel cells convert chemical energy in hydrogen into electrical energy by combining hydrogen gas with oxygen from the air to produce water and energy"
Generate a Energy multiple choice question:,"If you were to use hydrogen fuel cells in spacecraft, what kind of fuel cell type would you most likely prefer? W) Phosphoric acid X) Molten carbonate Y) Solid oxide Z) Alkaline"
Generate a Biology multiple choice question:,What kind of behavior causes bees to visit flowers to collect nectar and pollen? W) Learned X) Conditioned Y) Sensitization Z) Instinctual
Generate a Biology multiple choice question:,Honey doesn't spoil easily because bacteria falling into the honey are often killed. The water in the bacteria rushes out of the cell and the bacteria shrivel up because honey is a: W) Isotonic solution X) Hypertonic solution Y) Hypotonic solution Z) Inorganic solution
Generate a Math multiple choice question:,What are the solutions for x in the following equation: x2 −2x =8? W) 0 X) 0 and 2 Y) 4 and -2 Z) -4 and 2
Generate a Math short answer question:,Solve for x in simplest form for 3x2 +2x = 2. −1± 7
Generate a Math short answer question:,Factor the following expression completely over the integers:
Generate a Math short answer question:,Factor the following expression completely over the integers: .
Generate a Chemistry short answer question:,"Onions, shallots and leeks contain substances that cause our eyes to water. What element is common to the substances?"
Generate a Chemistry multiple choice question:,Which of the following 1.0 molar solutions will have the largest change in boiling point from that of pure water? W) Sodium bromide X) Magnesium iodide Y) Sucrose Z) Potassiumphosphate
Generate a Physics short answer question:,"Mirages, such as the silvery glimmer you sometimes see on a distant hot highway, are caused by heating of the air near the ground. What relevant property of the heated air is changed?"
Generate a Physics multiple choice question:,"A steadily increasing force is applied to a box that remains at rest for some period of time and then begins to accelerate. Which of the following appropriately describes what happens to the frictional force during the experiment? W) The frictional force remains constant throughout the experiment X) The frictional force increases throughout the experiment Y) The frictional force increases and then suddenly drops to a lower, non-zero value Z) The frictional force increases and then suddenly drops to zero"
Generate a Biology multiple choice question:,Which process will almost certainly result in genetic variation of offspring? W) Population dispersion X) Enzyme production Y) Cell differentiation Z) Zygote fertilization
Generate a Biology multiple choice question:,"If a parent organism experiences a mutation, then all subsequent offspring of that individual will: W) Always carry the mutated gene, but only as a recessive X) Always carry the gene, but never express it phenotypically Y) Only carry the mutated gene if it is heritable Z) Never carry the gene as mutations cannot be heritable"
Generate a Chemistry short answer question:,What is the shape of the bonding structure of carbon in diamond?
Generate a Chemistry short answer question:,What is the characteristic shape of tourmaline crystals?
Generate a Biology short answer question:,Cutaneous sensation to the lateral aspect of the dorsum of the hand is primarily provided by which nerve?
Generate a Biology multiple choice question:,Which of the following is NOT true regarding vertebrate muscle contractions? W) Tropomyosin (read as: trōe-poh-MY-oh-sin) binds the calcium ions and exposes the myosin binding sites on actin filaments X) The H zone and I band become shorter Y) T Tubules spread action potentials into the muscle fiber Z) The contraction is terminated when calcium ions are taken up by the sarcoplasmic reticulum
Generate a Physics short answer question:,"What is the total resistance, in ohms, of two resistors in parallel when both are 10 ohm resistors?"
Generate a Physics multiple choice question:,"If the circuit breaker in a 110-volt circuit is listed at 30 amperes, how many 100 watt light bulbs could you have on that circuit, which includes a TV with 250 watts, a hair dryer of 1500 watts and a computer of 150 watts? W) 10 X) 14 Y) 18 Z) 20"
Generate a Math multiple choice question:,A cylinder and a cone share the same radius and height. What is the ratio of the cylinder’s volume to the cone’s volume? W) 1:1 (read as: 1 to 1) X) 1.5:1 (read as: 1.5 to 1) Y) 2:1 (read as: 2 to 1) Z) 3:1 (read as: 3 to 1)
Generate a Math multiple choice question:,A math teacher is trying to describe her favorite triangle. The lengths of two sides are 4 centimeters and 6 centimeters. The angle opposite the 4 centimeter side is 12°. How many non-congruent triangles fit this description? W) 0 X) 1 Y) 2 Z) An infinite number
Generate a Biology multiple choice question:,Darwin's finches differ from other finches in the size and shape of their beaks. Which of the following factors has been identified as the major influence on the development of the differing beaks? W) Access to different food sources X) Sexual competition Y) Protection against predators Z) Genetic drift
Generate a Biology short answer question:,"Darwin's finches all descended from one species, the Blue-Black Grassquit Finch. These finches evolved in overlapping and sometimes identical ranges, often occurring together on the same islands. What is the name for speciation that occurs in this way?"
Generate a Chemistry multiple choice question:,The enthalpy in the reaction 3Q + 2R + 300 kilojoules à (read as: yields) 6Y + Z is +150 kilojoules per mole of: W) Q X) R Y) Y Z) Z
Generate a Chemistry multiple choice question:,Which of the following changes will increase the reaction rate of the reaction between solid magnesium and gaseous oxygen: 2 Mg + O à (read as: (s) 2(g) yields) 2 MgO + heat? (s) W) Increasing the concentration of oxygen X) Removing the magnesium oxide as soon as it is formed Y) Reducing the temperature Z) Decreasing the concentration of oxygen
Generate a Physics short answer question:,"If a particle moves from a position of x = 5 meters out to x = 200 meters and back again to x = 5 meters, what is its displacement in meters?"
Generate a Physics short answer question:,What are the two features of displacement?
Generate a Energy multiple choice question:,Which trophic level has the most energy? W) Consumers X) Decomposers Y) Producers Z) Scavengers
Generate a Energy multiple choice question:,Which is the approximate percentage of energy transfer from one trophic level to the next? W) 10% X) 50% Y) 75% Z) 100%
Generate a Math short answer question:,What is the greatest common factor of the terms in the expression 3x5y2 + 6x3y5 (read as: 3 x to the fifth y squared plus 6 x cubed y to the fifth)?
Generate a Math short answer question:,At what value of x is there a minimum for the function f(x)= x2 – 6x (read as: f of x equals x squared minus 6x)?
Generate a Energy short answer question:,"If a 250 acre farm were leased for wind development with income of $50 per acre per year, how much income would be produced each year?"
Generate a Energy multiple choice question:,"Wind energy is the conversion of wind power into electricity, using wind turbines. Which of the following statements is true about wind energy systems? W) Wind turbines convert kinetic energy from the wind X) Wind farms have to be located on unoccupied pieces of land Y) Wind energy systems have high impact on air emissions Z) Construction costs for wind-powered generators are minimal"
Generate a Energy multiple choice question:,EARTH AND SPACE Multiple Choice The source of energy that drives a tsunami wave onto a shore originated: W) From the gravitational attraction between the Earth and the Moon X) Along the ocean floor Y) From tidal waves Z) In Earth's interior
Generate a Biology multiple choice question:,"When sound waves travelling through the air reach the human ear, the cochlea (read as: KŌE-klee-ah) converts the sound wave into: W) A chemical response transmitted through the blood stream X) An electrical impulse sent to the brain Y) A lower frequency wave, which resonates within the ear Z) Many small wave vectors that are separately communicated to the brain"
Generate a Biology multiple choice question:,"How does neural transmission across a synaptic gap occur? W) Neural impulses cause the release of neurotransmitters that diffuse across the gap X) Neural impulses open potassium-gated channels, allowing sodium to move across the gap Y) Neural impulses travel across the gap as unidirectional electrical currents Z) Neural impulses travel across the gap as multidirectional electrical currents"
Generate a Math short answer question:,Name a real number that does not have a multiplicative inverse.
Generate a Math short answer question:,"Given the function y = 4x – x², what are the two values of x for which the corresponding value for y is 0?"
Generate a Math short answer question:,"As a fraction in lowest terms, what is the probability of rolling 1 or 3 on a standard 6-sided die?"
Generate a Math short answer question:,"If you roll a standard 6-sided die 2 times, how many different outcomes are possible?"
Generate a Chemistry multiple choice question:,Which of the following units can be used to express the volume of a liquid? W) Micrometers X) Milligrams Y) Grams per cubic centimeter Z) Nanoliters
Generate a Chemistry short answer question:,What is the process by which electricity is used to split water into hydrogen and oxygen?
Generate a Physics multiple choice question:,Which of the following choices is NOT an example of a rigid body? W) Slinky X) Wheel Y) Pool ball Z) CD
Generate a Physics short answer question:,"Which of the following are transmitted by electromagnetic waves: 1) radio, 2) television, 3) Rayleigh, or 4) P-waves?"
Generate a Biology multiple choice question:,The combined genetic information of all the members of a particular population is known as the: W) Allele (read as: ah-LEEL) frequency X) Genome Y) Directional selection Z) Gene pool
Generate a Biology multiple choice question:,"The black fur allele B (read as: big b), is dominant over the white fur allele b (read as: little b). Two mice with black fur mate, producing four offspring: one is white and three are black. What are the likely genotypes of the two parents? W) Bb and Bb X) BB and Bb Y) BB and BB Z) BB and bb"
Generate a Biology short answer question:,"What is the process by which particles move from an area of higher concentration to an area of lower concentration, not requiring cellular energy?"
Generate a Biology multiple choice question:,Which of the following substances is transported into cells via carrier-assisted transport? W) Water X) Carbon dioxide Y) Oxygen Z) Sodium ion
Generate a Chemistry multiple choice question:,"For a series of chemical reactions, Hess's law provides a method for the summation of which property? W) Heat of formation X) Entropy Y) Equilibrium constant Z) Reaction rate"
Generate a Chemistry multiple choice question:,"What is the difference between heat and temperature? W) Temperature is a form of heat, while heat is a measurement X) Temperature is a measurement of molecular kinetic energy, while heat is a form of energy Y) Heat and temperature have different wavelengths Z) Heat and temperature have similar wavelengths but different amplitudes"
Generate a Physics short answer question:,"If a car is accelerating along a road, the force acting on the car that causes it to move forward is the reaction force from the car pushing on the ground. What is this reaction force due to?"
Generate a Physics short answer question:,"If a car is accelerating along a road, what force due to the air does the frictional force have to oppose?"
Generate a Math short answer question:,"Given the equation 2x – y + 5 = 0, find the slope and y-intercept of the line it represents."
Generate a Math multiple choice question:,The equation x2 + y2 = 121 with x > 0 and y < 0 would result in the graph of: W) A semicircle below the x-axis X) A quarter circle in the 2nd quadrant Y) A quarter circle in the 4th quadrant Z) A complete circle with a radius of 11
Generate a Biology multiple choice question:,"Some plants spread their pollen via the wind while others use animals to spread their pollen. When a plant uses an animal to spread its pollen, this type of pollination is called: W) Vector pollination X) Seed dispersal Y) Evolutionary adaptation Z) Reproductive guarantee"
Generate a Biology short answer question:,What is the most common term for the stage of photosynthesis (read as: fōe-tōe-SIN-teh-sis) during which carbon fixation occurs?
Generate a Chemistry short answer question:,What is the oxidation state of Hydrogen in H ? 2
Generate a Chemistry short answer question:,What is the oxidation state of Hydrogen in LiAlH ? 4
Generate a Physics short answer question:,What are the two forms of electrical current?
Generate a Physics multiple choice question:,Which of the following is the most common method of producing alternating current? W) Circuits varying from parallel to series X) Switches automatically turning on and off Y) Turbines rotating backwards and forwards Z) Magnets spinning in a coil of wire
Generate a Chemistry multiple choice question:,Which of the following relationships is true? W) 1 food calorie is equal to 4.18 kilojoules X) 1 joule is equal to 1 food calorie Y) 1 joule is equal to 4.18 food calories Z) 1 food calorie is equal to 4.18 joules
Generate a Chemistry multiple choice question:,"In order to calculate the heat of fusion for a piece of ice placed in warm water, you must know: W) The energy released by the warm water and the mass of the water X) The energy released by the warm water and the mass of the ice Y) The energy released by the ice and the mass of the warm water Z) The energy released by the ice and the mass of ice"
Generate a Math short answer question:,"If the distribution graph of a set of data has a positive skew, then which tail of the graph is longer?"
Generate a Math short answer question:,"Give the median for the following data set: 1, 2, 7, 7, 8, 9, 10, 11."
Generate a Energy multiple choice question:,A kilowatt-hour is a unit of: W) Charge X) Power Y) Energy Z) Electric potential
Generate a Energy short answer question:,"What is the Gibbs free energy, in joules, of chlorine gas formation?"
Generate a Biology short answer question:,"Biology – Short Answer What photosynthetic pathway, named after its discoverers, is also known as the light-independent pathway?"
Generate a Biology multiple choice question:,Biology – Multiple Choice Which of the following would be the most likely explanation for hypothyroidism in a patient whose iodine level is normal? W) Disproportionate production of T3 to T4 X) Hyposecretion of TSH Y) Hypersecretion of TSH Z) Hypersecretion of MSH
Generate a Energy short answer question:,"Energy – Short Answer What is the name of the compound in which methane is sequestered into water- ice, forming a crystal structure in which water molecules create a cage for a single methane molecule?"
Generate a Energy short answer question:,"Energy – Short Answer In fluorescent tube lamps, what element forms a vapor inside of the tube that produces the short-wave ultraviolet light when excited by electricity?"
Generate a Math short answer question:,Math – Short Answer What adjective describes two angles that sum to 180 degrees?
Generate a Math multiple choice question:,Math – Multiple Choice What transformation occurs in going from the graph of f(x) = 0.5x2 + x to the graph of g(x) = 0.5x2 – x? W) Horizontal shift right by 1 unit X) Horizontal shift left by 1 unit Y) Horizontal shift right by 2 units Z) Horizontal shift left by 2 units
Generate a Chemistry multiple choice question:,Chemistry – Multiple Choice Consider a reaction vessel at equilibrium where gaseous oxygen and fluorine are reacting to generate liquid oxygen difluoride. The enthalpy of formation of oxygen difluoride is positive. Which of the following pertubations would increase the yield of oxygen difluoride? W) Increasing the volume of the reaction vessel X) Increasing the temperature of the reaction vessel Y) Increasing the pressure of the reaction vessel by adding helium gas Z) Removing oxygen gas from the reaction vessel
Generate a Chemistry multiple choice question:,Chemistry – Multiple Choice Which of the following statements concerning lattice enthalpies is not true? W) Increasing ion size will produce a larger lattice enthalpy X) Cations and anions that are more highly charged will produce larger lattice enthalpies Y) Lattice enthalpy correlates with the percentage ionic character of a compound Z) Lattice enthalpies can be calculated by summing up electrostatic interactions between all pairs of ions
Generate a Physics short answer question:,"Physics – Short Answer What scientist disproved the corpuscular theory of light with his 1801 double- slit experiment, lending credence to the wave model of light?"
Generate a Physics short answer question:,"Physics – Short Answer Four 3-ohm resistors are connected to a 9-volt battery. Three of the resistors are connected in series, while the fourth is connected parallel to the other three. How many cumulative watts of power are dissipated by the four resistors at a given instant?"
Generate a Energy multiple choice question:,Energy – Multiple Choice Which of the following is a notorious poison for the platinum catalyst in a polymer electrolyte membrane fuel cell? W) Carbon monoxide X) Carbon dioxide Y) Carbonate Z) Nitrogen
Generate a Energy multiple choice question:,"Energy – Multiple Choice Which of the following is not true regarding coal? W) Coal is formed when dead plant matter is converted to peat, then lignite X) China produces the most coal worldwide Y) Natural gas releases more carbon dioxide per kilowatt-hour than coal Z) Anthracite can be converted to graphite under high pressure and temperature"
Generate a Biology multiple choice question:,Biology – Multiple Choice Which of the following techniques would one use to separate proteins based on size? W) Polymerase chain reaction X) E. coli transduction Y) SDS-polyacrylamide gel electrophoresis [el-ek-troh-fer-ee-sihs] Z) Enzyme-linked immunoprecipitation
Generate a Biology multiple choice question:,"Biology – Multiple Choice Which of the following is true regarding the phylum Cnidaria [nihd-air-ee-uh]? W) Cnidarians include organisms such as flatworms and tapeworms X) Cnidarians usually have a motile medusa form and a non-motile polyp form Y) Cnidarians form three germ layers during development, one of which forms the coelem Z) Gastropoda is a class within the phylum Cnidaria"
Generate a Chemistry short answer question:,Chemistry – Short Answer Identify all of the following three compounds that have more ionic character than lithium chloride: 1) Lithium fluoride; 2) Rubidium fluoride; 3) Lithium bromide.
Generate a Chemistry multiple choice question:,"Chemistry – Multiple Choice Which of the following is the name for the type of isomerism, which is a subset of stereoisomerism, describing compounds that interconvert by rotation of single bonds? W) Constitutional isomerism X) Cis-trans isomerism Y) Enantiomerism Z) Conformational isomerism"
Generate a Math multiple choice question:,Math – Multiple Choice Set q contains all irrational numbers r such that 0 < r < 1. Which of the following is true about q? W) It is an empty set X) It has a countably infinite number of elements Y) It has an uncountably infinite number of elements Z) It has a nonzero finite number of elements
Generate a Math multiple choice question:,"Math – Multiple Choice Consider a criminal trial in which the defendant is innocent until proven guilty. If the jury accepts the null hypothesis when the defendant is innocent, which of the following has occurred? W) The jury made the right decision X) The jury committed a type I error Y) The jury committed a type II error Z) The jury committed a type III error"
Generate a Physics short answer question:,Physics – Short Answer What law of physics can be used to calculate the coherent and incoherent scattering angles in an x-ray crystallography experiment?
Generate a Physics short answer question:,"Physics – Short Answer Identify all of the following 3 statements that are true of magnetism: 1) When magnetic field lines are far apart, the field magnitude is large; 2) One tesla is equal to one newton per ampere-meter; 3) A straight segment of a conductor carrying current I in a uniform magnetic field B experiences a force F that is parallel to B."
Generate a Biology short answer question:,Biology – Short Answer Testosterone and other androgens are produced by what specialized cells that populate the seminiferous tubules?
Generate a Biology multiple choice question:,Biology – Multiple Choice Which of the following is not a medically relevant difference between eukaryotic cells and bacterial cells? W) Differences in ribosome structure X) Presence of peptidoglycan layer in bacteria Y) Differences in genetic code Z) Presence of lipopolysaccharides [lye-poh-poly-sak-kar-ides] in bacteria
